threshold,precision,recall,f1
0.1,0.9954631778856299,0.9984126984126984,0.9969357565511412
0.15000000000000002,0.997778952934955,0.9983068783068783,0.9980428458079873
0.20000000000000004,0.9987296210035994,0.9983068783068783,0.9985182049110923
0.25000000000000006,0.9990469130572911,0.9983068783068783,0.9986767585878368
0.30000000000000004,0.9995761813943632,0.9983068783068783,0.9989411266412537
0.3500000000000001,0.9996820686731666,0.9982010582010582,0.9989410145081012
0.40000000000000013,0.9997880233174351,0.9982010582010582,0.9989939105109875
0.45000000000000007,0.9997880008479966,0.9980952380952381,0.9989409023511968
0.5000000000000001,0.9997880008479966,0.9980952380952381,0.9989409023511968
0.5500000000000002,0.9997880008479966,0.9980952380952381,0.9989409023511968
0.6000000000000002,0.9997879334110911,0.9977777777777778,0.9987818441819819
0.6500000000000001,0.9997879334110911,0.9977777777777778,0.9987818441819819
0.7000000000000002,0.9997879334110911,0.9977777777777778,0.9987818441819819
0.7500000000000002,0.9998939554612938,0.9977777777777778,0.9988347457627119
0.8000000000000002,1.0,0.9977777777777778,0.9988876529477196
0.8500000000000002,1.0,0.9977777777777778,0.9988876529477196
0.9000000000000002,1.0,0.9977777777777778,0.9988876529477196
0.9500000000000003,1.0,0.9977777777777778,0.9988876529477196
