url,label,predicted,phishing_probability
http://sunpasstollsbill.com,1,0,0.03657000779720653
http://instantquizz.com,1,0,0.01797221578520834
http://cstraders.net,1,0,0.006732837846851411
http://yourbestfriend2468.com,1,0,0.11740349404827591
http://cisco-italy.com,1,0,0.04650493349280503
http://telegvpqm.cn,1,0,0.08776966614104205
http://socrates-gm.com,1,0,0.04650493349280503
http://cctop.cl,1,0,0.009057198586378785
http://eagle-tex.cn,1,0,0.017775498783888878
http://tollwebmail518ny.com,1,0,0.3174371635343512
http://wk.pl,1,0,0.0010045461996562373
http://garrena.vn,1,0,0.007311616244751506
http://howtosuecslplasma.org,1,0,0.05328198809710424
http://stonex-payments.de,1,0,0.42719405800281934
http://alien9fei19.vip,1,0,0.04364596751269289
http://isdoors.com,1,0,0.005815710054700089
http://paginas.site,1,0,0.025642700788906198
http://hp73monitor.com,1,0,0.027319925371303653
